6561
12800
12720
320

0 : < 0, 1 >
123 : < 0.525, 0.9875 >
124 : < 0.5375, 0.9875 >
125 : < 0.55, 0.9875 >
126 : < 0.5625, 0.9875 >
127 : < 0.575, 0.9875 >
128 : < 0.5875, 0.9875 >
129 : < 0.6, 0.9875 >
130 : < 0.6125, 0.9875 >
131 : < 0.625, 0.9875 >
132 : < 0.6375, 0.9875 >
133 : < 0.65, 0.9875 >
134 : < 0.6625, 0.9875 >
135 : < 0.675, 0.9875 >
136 : < 0.6875, 0.9875 >
137 : < 0.7, 0.9875 >
138 : < 0.7125, 0.9875 >
139 : < 0.725, 0.9875 >
140 : < 0.7375, 0.9875 >
141 : < 0.75, 0.9875 >
142 : < 0.7625, 0.9875 >
143 : < 0.775, 0.9875 >
144 : < 0.7875, 0.9875 >
145 : < 0.8, 0.9875 >
146 : < 0.8125, 0.9875 >
147 : < 0.825, 0.9875 >
148 : < 0.8375, 0.9875 >
149 : < 0.85, 0.9875 >
150 : < 0.8625, 0.9875 >
151 : < 0.875, 0.9875 >
152 : < 0.8875, 0.9875 >
153 : < 0.9, 0.9875 >
154 : < 0.9125, 0.9875 >
155 : < 0.925, 0.9875 >
156 : < 0.9375, 0.9875 >
157 : < 0.95, 0.9875 >
158 : < 0.9625, 0.9875 >
159 : < 0.975, 0.9875 >
160 : < 0.9875, 0.9875 >
161 : < 1, 0.9875 >
162 : < 0, 0.975 >
163 : < 0.0125, 0.975 >
164 : < 0.025, 0.975 >
165 : < 0.0375, 0.975 >
166 : < 0.05, 0.975 >
167 : < 0.0625, 0.975 >
168 : < 0.075, 0.975 >
169 : < 0.0875, 0.975 >
170 : < 0.1, 0.975 >
171 : < 0.1125, 0.975 >
172 : < 0.125, 0.975 >
173 : < 0.1375, 0.975 >
174 : < 0.15, 0.975 >
175 : < 0.1625, 0.975 >
176 : < 0.175, 0.975 >
177 : < 0.1875, 0.975 >
178 : < 0.2, 0.975 >
179 : < 0.2125, 0.975 >
180 : < 0.225, 0.975 >
181 : < 0.2375, 0.975 >
182 : < 0.25, 0.975 >
183 : < 0.2625, 0.975 >
184 : < 0.275, 0.975 >
185 : < 0.2875, 0.975 >
186 : < 0.3, 0.975 >
187 : < 0.3125, 0.975 >
188 : < 0.325, 0.975 >
189 : < 0.3375, 0.975 >
190 : < 0.35, 0.975 >
191 : < 0.3625, 0.975 >
192 : < 0.375, 0.975 >
193 : < 0.3875, 0.975 >
194 : < 0.4, 0.975 >
195 : < 0.4125, 0.975 >
196 : < 0.425, 0.975 >
197 : < 0.4375, 0.975 >
198 : < 0.45, 0.975 >
199 : < 0.4625, 0.975 >
200 : < 0.475, 0.975 >
201 : < 0.4875, 0.975 >
202 : < 0.5, 0.975 >
203 : < 0.5125, 0.975 >
204 : < 0.525, 0.975 >
205 : < 0.5375, 0.975 >
206 : < 0.55, 0.975 >
207 : < 0.5625, 0.975 >
208 : < 0.575, 0.975 >
209 : < 0.5875, 0.975 >
210 : < 0.6, 0.975 >
211 : < 0.6125, 0.975 >
212 : < 0.625, 0.975 >
213 : < 0.6375, 0.975 >
214 : < 0.65, 0.975 >
215 : < 0.6625, 0.975 >
216 : < 0.675, 0.975 >
217 : < 0.6875, 0.975 >
218 : < 0.7, 0.975 >
219 : < 0.7125, 0.975 >
220 : < 0.725, 0.975 >
221 : < 0.7375, 0.975 >
222 : < 0.75, 0.975 >
223 : < 0.7625, 0.975 >
224 : < 0.775, 0.975 >
225 : < 0.7875, 0.975 >
226 : < 0.8, 0.975 >
227 : < 0.8125, 0.975 >
228 : < 0.825, 0.975 >
229 : < 0.8375, 0.975 >
230 : < 0.85, 0.975 >
231 : < 0.8625, 0.975 >
232 : < 0.875, 0.975 >
233 : < 0.8875, 0.975 >
234 : < 0.9, 0.975 >
235 : < 0.9125, 0.975 >
236 : < 0.925, 0.975 >
237 : < 0.9375, 0.975 >
238 : < 0.95, 0.975 >
239 : < 0.9625, 0.975 >
240 : < 0.975, 0.975 >
241 : < 0.9875, 0.975 >
242 : < 1, 0.975 >
243 : < 0, 0.9625 >
244 : < 0.0125, 0.9625 >
245 : < 0.025, 0.9625 >
246 : < 0.0375, 0.9625 >
247 : < 0.05, 0.9625 >
248 : < 0.0625, 0.9625 >
249 : < 0.075, 0.9625 >
250 : < 0.0875, 0.9625 >
251 : < 0.1, 0.9625 >
252 : < 0.1125, 0.9625 >
253 : < 0.125, 0.9625 >
254 : < 0.1375, 0.9625 >
255 : < 0.15, 0.9625 >
256 : < 0.1625, 0.9625 >
257 : < 0.175, 0.9625 >
258 : < 0.1875, 0.9625 >
259 : < 0.2, 0.9625 >
260 : < 0.2125, 0.9625 >
261 : < 0.225, 0.9625 >
262 : < 0.2375, 0.9625 >
263 : < 0.25, 0.9625 >
264 : < 0.2625, 0.9625 >
265 : < 0.275, 0.9625 >
266 : < 0.2875, 0.9625 >
267 : < 0.3, 0.9625 >
268 : < 0.3125, 0.9625 >
269 : < 0.325, 0.9625 >
270 : < 0.3375, 0.9625 >
271 : < 0.35, 0.9625 >
272 : < 0.3625, 0.9625 >
273 : < 0.375, 0.9625 >
274 : < 0.3875, 0.9625 >
275 : < 0.4, 0.9625 >
276 : < 0.4125, 0.9625 >
277 : < 0.425, 0.9625 >
278 : < 0.4375, 0.9625 >
279 : < 0.45, 0.9625 >
280 : < 0.4625, 0.9625 >
281 : < 0.475, 0.9625 >
282 : < 0.4875, 0.9625 >
283 : < 0.5, 0.9625 >
284 : < 0.5125, 0.9625 >
285 : < 0.525, 0.9625 >
286 : < 0.5375, 0.9625 >
287 : < 0.55, 0.9625 >
288 : < 0.5625, 0.9625 >
289 : < 0.575, 0.9625 >
290 : < 0.5875, 0.9625 >
291 : < 0.6, 0.9625 >
292 : < 0.6125, 0.9625 >
293 : < 0.625, 0.9625 >
294 : < 0.6375, 0.9625 >
295 : < 0.65, 0.9625 >
296 : < 0.6625, 0.9625 >
297 : < 0.675, 0.9625 >
298 : < 0.6875, 0.9625 >
299 : < 0.7, 0.9625 >
300 : < 0.7125, 0.9625 >
301 : < 0.725, 0.9625 >
302 : < 0.7375, 0.9625 >
303 : < 0.75, 0.9625 >
304 : < 0.7625, 0.9625 >
305 : < 0.775, 0.9625 >
306 : < 0.7875, 0.9625 >
307 : < 0.8, 0.9625 >
308 : < 0.8125, 0.9625 >
309 : < 0.825, 0.9625 >
310 : < 0.8375, 0.9625 >
311 : < 0.85, 0.9625 >
312 : < 0.8625, 0.9625 >
313 : < 0.875, 0.9625 >
314 : < 0.8875, 0.9625 >
315 : < 0.9, 0.9625 >
316 : < 0.9125, 0.9625 >
317 : < 0.925, 0.9625 >
318 : < 0.9375, 0.9625 >
319 : < 0.95, 0.9625 >
320 : < 0.9625, 0.9625 >
321 : < 0.975, 0.9625 >
322 : < 0.9875, 0.9625 >
323 : < 1, 0.9625 >
324 : < 0, 0.95 >
325 : < 0.0125, 0.95 >
326 : < 0.025, 0.95 >
327 : < 0.0375, 0.95 >
328 : < 0.05, 0.95 >
329 : < 0.0625, 0.95 >
330 : < 0.075, 0.95 >
331 : < 0.0875, 0.95 >
332 : < 0.1, 0.95 >
333 : < 0.1125, 0.95 >
334 : < 0.125, 0.95 >
335 : < 0.1375, 0.95 >
336 : < 0.15, 0.95 >
337 : < 0.1625, 0.95 >
338 : < 0.175, 0.95 >
339 : < 0.1875, 0.95 >
340 : < 0.2, 0.95 >
341 : < 0.2125, 0.95 >
342 : < 0.225, 0.95 >
343 : < 0.2375, 0.95 >
344 : < 0.25, 0.95 >
345 : < 0.2625, 0.95 >
346 : < 0.275, 0.95 >
347 : < 0.2875, 0.95 >
348 : < 0.3, 0.95 >
349 : < 0.3125, 0.95 >
350 : < 0.325, 0.95 >
351 : < 0.3375, 0.95 >
352 : < 0.35, 0.95 >
353 : < 0.3625, 0.95 >
354 : < 0.375, 0.95 >
355 : < 0.3875, 0.95 >
356 : < 0.4, 0.95 >
357 : < 0.4125, 0.95 >
358 : < 0.425, 0.95 >
359 : < 0.4375, 0.95 >
360 : < 0.45, 0.95 >
361 : < 0.4625, 0.95 >
362 : < 0.475, 0.95 >
363 : < 0.4875, 0.95 >
364 : < 0.5, 0.95 >
365 : < 0.5125, 0.95 >
366 : < 0.525, 0.95 >
367 : < 0.5375, 0.95 >
368 : < 0.55, 0.95 >
369 : < 0.5625, 0.95 >
370 : < 0.575, 0.95 >
371 : < 0.5875, 0.95 >
372 : < 0.6, 0.95 >
373 : < 0.6125, 0.95 >
374 : < 0.625, 0.95 >
375 : < 0.6375, 0.95 >
376 : < 0.65, 0.95 >
377 : < 0.6625, 0.95 >
378 : < 0.675, 0.95 >
379 : < 0.6875, 0.95 >
380 : < 0.7, 0.95 >
381 : < 0.7125, 0.95 >
382 : < 0.725, 0.95 >
383 : < 0.7375, 0.95 >
384 : < 0.75, 0.95 >
385 : < 0.7625, 0.95 >
386 : < 0.775, 0.95 >
387 : < 0.7875, 0.95 >
388 : < 0.8, 0.95 >
389 : < 0.8125, 0.95 >
390 : < 0.825, 0.95 >
391 : < 0.8375, 0.95 >
392 : < 0.85, 0.95 >
393 : < 0.8625, 0.95 >
394 : < 0.875, 0.95 >
395 : < 0.8875, 0.95 >
396 : < 0.9, 0.95 >
397 : < 0.9125, 0.95 >
398 : < 0.925, 0.95 >
399 : < 0.9375, 0.95 >
400 : < 0.95, 0.95 >
401 : < 0.9625, 0.95 >
402 : < 0.975, 0.95 >
403 : < 0.9875, 0.95 >
404 : < 1, 0.95 >
405 : < 0, 0.9375 >
406 : < 0.0125, 0.9375 >
407 : < 0.025, 0.9375 >
408 : < 0.0375, 0.9375 >
409 : < 0.05, 0.9375 >
410 : < 0.0625, 0.9375 >
411 : < 0.075, 0.9375 >
412 : < 0.0875, 0.9375 >
413 : < 0.1, 0.9375 >
414 : < 0.1125, 0.9375 >
415 : < 0.125, 0.9375 >
416 : < 0.1375, 0.9375 >
417 : < 0.15, 0.9375 >
418 : < 0.1625, 0.9375 >
419 : < 0.175, 0.9375 >
420 : < 0.1875, 0.9375 >
421 : < 0.2, 0.9375 >
422 : < 0.2125, 0.9375 >
423 : < 0.225, 0.9375 >
424 : < 0.2375, 0.9375 >
425 : < 0.25, 0.9375 >
426 : < 0.2625, 0.9375 >
427 : < 0.275, 0.9375 >
428 : < 0.2875, 0.9375 >
429 : < 0.3, 0.9375 >
430 : < 0.3125, 0.9375 >
431 : < 0.325, 0.9375 >
432 : < 0.3375, 0.9375 >
433 : < 0.35, 0.9375 >
434 : < 0.3625, 0.9375 >
435 : < 0.375, 0.9375 >
436 : < 0.3875, 0.9375 >
437 : < 0.4, 0.9375 >
438 : < 0.4125, 0.9375 >
439 : < 0.425, 0.9375 >
440 : < 0.4375, 0.9375 >
441 : < 0.45, 0.9375 >
442 : < 0.4625, 0.9375 >
443 : < 0.475, 0.9375 >
444 : < 0.4875, 0.9375 >
445 : < 0.5, 0.9375 >
446 : < 0.5125, 0.9375 >
447 : < 0.525, 0.9375 >
448 : < 0.5375, 0.9375 >
449 : < 0.55, 0.9375 >
450 : < 0.5625, 0.9375 >
451 : < 0.575, 0.9375 >
452 : < 0.5875, 0.9375 >
453 : < 0.6, 0.9375 >
454 : < 0.6125, 0.9375 >
455 : < 0.625, 0.9375 >
456 : < 0.6375, 0.9375 >
457 : < 0.65, 0.9375 >
458 : < 0.6625, 0.9375 >
459 : < 0.675, 0.9375 >
460 : < 0.6875, 0.9375 >
461 : < 0.7, 0.9375 >
462 : < 0.7125, 0.9375 >
463 : < 0.725, 0.9375 >
464 : < 0.7375, 0.9375 >
465 : < 0.75, 0.9375 >
466 : < 0.7625, 0.9375 >
467 : < 0.775, 0.9375 >
468 : < 0.7875, 0.9375 >
469 : < 0.8, 0.9375 >
470 : < 0.8125, 0.9375 >
471 : < 0.825, 0.9375 >
472 : < 0.8375, 0.9375 >
473 : < 0.85, 0.9375 >
474 : < 0.8625, 0.9375 >
475 : < 0.875, 0.9375 >
476 : < 0.8875, 0.9375 >
477 : < 0.9, 0.9375 >
478 : < 0.9125, 0.9375 >
479 : < 0.925, 0.9375 >
480 : < 0.9375, 0.9375 >
481 : < 0.95, 0.9375 >
482 : < 0.9625, 0.9375 >
483 : < 0.975, 0.9375 >
484 : < 0.9875, 0.9375 >
485 : < 1, 0.9375 >
486 : < 0, 0.925 >
487 : < 0.0125, 0.925 >
488 : < 0.025, 0.925 >
489 : < 0.0375, 0.925 >
490 : < 0.05, 0.925 >
491 : < 0.0625, 0.925 >
492 : < 0.075, 0.925 >
493 : < 0.0875, 0.925 >
494 : < 0.1, 0.925 >
495 : < 0.1125, 0.925 >
496 : < 0.125, 0.925 >
497 : < 0.1375, 0.925 >
498 : < 0.15, 0.925 >
499 : < 0.1625, 0.925 >
500 : < 0.175, 0.925 >
501 : < 0.1875, 0.925 >
502 : < 0.2, 0.925 >
503 : < 0.2125, 0.925 >
504 : < 0.225, 0.925 >
505 : < 0.2375, 0.925 >
506 : < 0.25, 0.925 >
507 : < 0.2625, 0.925 >
508 : < 0.275, 0.925 >
509 : < 0.2875, 0.925 >
510 : < 0.3, 0.925 >
511 : < 0.3125, 0.925 >
512 : < 0.325, 0.925 >
513 : < 0.3375, 0.925 >
514 : < 0.35, 0.925 >
515 : < 0.3625, 0.925 >
516 : < 0.375, 0.925 >
517 : < 0.3875, 0.925 >
518 : < 0.4, 0.925 >
519 : < 0.4125, 0.925 >
520 : < 0.425, 0.925 >
521 : < 0.4375, 0.925 >
522 : < 0.45, 0.925 >
523 : < 0.4625, 0.925 >
524 : < 0.475, 0.925 >
525 : < 0.4875, 0.925 >
526 : < 0.5, 0.925 >
527 : < 0.5125, 0.925 >
528 : < 0.525, 0.925 >
529 : < 0.5375, 0.925 >
530 : < 0.55, 0.925 >
531 : < 0.5625, 0.925 >
532 : < 0.575, 0.925 >
533 : < 0.5875, 0.925 >
534 : < 0.6, 0.925 >
535 : < 0.6125, 0.925 >
536 : < 0.625, 0.925 >
537 : < 0.6375, 0.925 >
538 : < 0.65, 0.925 >
539 : < 0.6625, 0.925 >
540 : < 0.675, 0.925 >
541 : < 0.6875, 0.925 >
542 : < 0.7, 0.925 >
543 : < 0.7125, 0.925 >
544 : < 0.725, 0.925 >
545 : < 0.7375, 0.925 >
546 : < 0.75, 0.925 >
547 : < 0.7625, 0.925 >
548 : < 0.775, 0.925 >
549 : < 0.7875, 0.925 >
550 : < 0.8, 0.925 >
551 : < 0.8125, 0.925 >
552 : < 0.825, 0.925 >
553 : < 0.8375, 0.925 >
554 : < 0.85, 0.925 >
555 : < 0.8625, 0.925 >
556 : < 0.875, 0.925 >
557 : < 0.8875, 0.925 >
558 : < 0.9, 0.925 >
559 : < 0.9125, 0.925 >
560 : < 0.925, 0.925 >
561 : < 0.9375, 0.925 >
562 : < 0.95, 0.925 >
563 : < 0.9625, 0.925 >
564 : < 0.975, 0.925 >
565 : < 0.9875, 0.925 >
566 : < 1, 0.925 >
567 : < 0, 0.9125 >
568 : < 0.0125, 0.9125 >
569 : < 0.025, 0.9125 >
570 : < 0.0375, 0.9125 >
571 : < 0.05, 0.9125 >
572 : < 0.0625, 0.9125 >
573 : < 0.075, 0.9125 >
574 : < 0.0875, 0.9125 >
575 : < 0.1, 0.9125 >
576 : < 0.1125, 0.9125 >
577 : < 0.125, 0.9125 >
578 : < 0.1375, 0.9125 >
579 : < 0.15, 0.9125 >
580 : < 0.1625, 0.9125 >
581 : < 0.175, 0.9125 >
582 : < 0.1875, 0.9125 >
583 : < 0.2, 0.9125 >
584 : < 0.2125, 0.9125 >
585 : < 0.225, 0.9125 >
586 : < 0.2375, 0.9125 >
587 : < 0.25, 0.9125 >
588 : < 0.2625, 0.9125 >
589 : < 0.275, 0.9125 >
590 : < 0.2875, 0.9125 >
591 : < 0.3, 0.9125 >
592 : < 0.3125, 0.9125 >
593 : < 0.325, 0.9125 >
594 : < 0.3375, 0.9125 >
595 : < 0.35, 0.9125 >
596 : < 0.3625, 0.9125 >
597 : < 0.375, 0.9125 >
598 : < 0.3875, 0.9125 >
599 : < 0.4, 0.9125 >
600 : < 0.4125, 0.9125 >
601 : < 0.425, 0.9125 >
602 : < 0.4375, 0.9125 >
603 : < 0.45, 0.9125 >
604 : < 0.4625, 0.9125 >
605 : < 0.475, 0.9125 >
606 : < 0.4875, 0.9125 >
607 : < 0.5, 0.9125 >
608 : < 0.5125, 0.9125 >
609 : < 0.525, 0.9125 >
610 : < 0.5375, 0.9125 >
611 : < 0.55, 0.9125 >
612 : < 0.5625, 0.9125 >
613 : < 0.575, 0.9125 >
614 : < 0.5875, 0.9125 >
615 : < 0.6, 0.9125 >
616 : < 0.6125, 0.9125 >
617 : < 0.625, 0.9125 >
618 : < 0.6375, 0.9125 >
619 : < 0.65, 0.9125 >
620 : < 0.6625, 0.9125 >
621 : < 0.675, 0.9125 >
622 : < 0.6875, 0.9125 >
623 : < 0.7, 0.9125 >
624 : < 0.7125, 0.9125 >
625 : < 0.725, 0.9125 >
626 : < 0.7375, 0.9125 >
627 : < 0.75, 0.9125 >
628 : < 0.7625, 0.9125 >
629 : < 0.775, 0.9125 >
630 : < 0.7875, 0.9125 >
631 : < 0.8, 0.9125 >
632 : < 0.8125, 0.9125 >
633 : < 0.825, 0.9125 >
634 : < 0.8375, 0.9125 >
635 : < 0.85, 0.9125 >
636 : < 0.8625, 0.9125 >
637 : < 0.875, 0.9125 >
638 : < 0.8875, 0.9125 >
639 : < 0.9, 0.9125 >
640 : < 0.9125, 0.9125 >
641 : < 0.925, 0.9125 >
642 : < 0.9375, 0.9125 >
643 : < 0.95, 0.9125 >
644 : < 0.9625, 0.9125 >
645 : < 0.975, 0.9125 >
646 : < 0.9875, 0.9125 >
647 : < 1, 0.9125 >
648 : < 0, 0.9 >
649 : < 0.0125, 0.9 >
650 : < 0.025, 0.9 >
651 : < 0.0375, 0.9 >
652 : < 0.05, 0.9 >
653 : < 0.0625, 0.9 >
654 : < 0.075, 0.9 >
655 : < 0.0875, 0.9 >
656 : < 0.1, 0.9 >
657 : < 0.1125, 0.9 >
658 : < 0.125, 0.9 >
659 : < 0.1375, 0.9 >
660 : < 0.15, 0.9 >
661 : < 0.1625, 0.9 >
662 : < 0.175, 0.9 >
663 : < 0.1875, 0.9 >
664 : < 0.2, 0.9 >
665 : < 0.2125, 0.9 >
666 : < 0.225, 0.9 >
667 : < 0.2375, 0.9 >
668 : < 0.25, 0.9 >
669 : < 0.2625, 0.9 >
670 : < 0.275, 0.9 >
671 : < 0.2875, 0.9 >
672 : < 0.3, 0.9 >
673 : < 0.3125, 0.9 >
674 : < 0.325, 0.9 >
675 : < 0.3375, 0.9 >
676 : < 0.35, 0.9 >
677 : < 0.3625, 0.9 >
678 : < 0.375, 0.9 >
679 : < 0.3875, 0.9 >
680 : < 0.4, 0.9 >
681 : < 0.4125, 0.9 >
682 : < 0.425, 0.9 >
683 : < 0.4375, 0.9 >
684 : < 0.45, 0.9 >
685 : < 0.4625, 0.9 >
686 : < 0.475, 0.9 >
687 : < 0.4875, 0.9 >
688 : < 0.5, 0.9 >
689 : < 0.5125, 0.9 >
690 : < 0.525, 0.9 >
691 : < 0.5375, 0.9 >
692 : < 0.55, 0.9 >
693 : < 0.5625, 0.9 >
694 : < 0.575, 0.9 >
695 : < 0.5875, 0.9 >
696 : < 0.6, 0.9 >
697 : < 0.6125, 0.9 >
698 : < 0.625, 0.9 >
699 : < 0.6375, 0.9 >
700 : < 0.65, 0.9 >
701 : < 0.6625, 0.9 >
702 : < 0.675, 0.9 >
703 : < 0.6875, 0.9 >
704 : < 0.7, 0.9 >
705 : < 0.7125, 0.9 >
706 : < 0.725, 0.9 >
707 : < 0.7375, 0.9 >
708 : < 0.75, 0.9 >
709 : < 0.7625, 0.9 >
710 : < 0.775, 0.9 >
711 : < 0.7875, 0.9 >
712 : < 0.8, 0.9 >
713 : < 0.8125, 0.9 >
714 : < 0.825, 0.9 >
715 : < 0.8375, 0.9 >
716 : < 0.85, 0.9 >
717 : < 0.8625, 0.9 >
718 : < 0.875, 0.9 >
719 : < 0.8875, 0.9 >
720 : < 0.9, 0.9 >
721 : < 0.9125, 0.9 >
722 : < 0.925, 0.9 >
723 : < 0.9375, 0.9 >
724 : < 0.95, 0.9 >
725 : < 0.9625, 0.9 >
726 : < 0.975, 0.9 >
727 : < 0.9875, 0.9 >
728 : < 1, 0.9 >
729 : < 0, 0.8875 >
730 : < 0.0125, 0.8875 >
731 : < 0.025, 0.8875 >
732 : < 0.0375, 0.8875 >
733 : < 0.05, 0.8875 >
734 : < 0.0625, 0.8875 >
735 : < 0.075, 0.8875 >
736 : < 0.0875, 0.8875 >
737 : < 0.1, 0.8875 >
738 : < 0.1125, 0.8875 >
739 : < 0.125, 0.8875 >
740 : < 0.1375, 0.8875 >
741 : < 0.15, 0.8875 >
742 : < 0.1625, 0.8875 >
743 : < 0.175, 0.8875 >
744 : < 0.1875, 0.8875 >
745 : < 0.2, 0.8875 >
746 : < 0.2125, 0.8875 >
747 : < 0.225, 0.8875 >
748 : < 0.2375, 0.8875 >
749 : < 0.25, 0.8875 >
750 : < 0.2625, 0.8875 >
751 : < 0.275, 0.8875 >
752 : < 0.2875, 0.8875 >
753 : < 0.3, 0.8875 >
754 : < 0.3125, 0.8875 >
755 : < 0.325, 0.8875 >
756 : < 0.3375, 0.8875 >
757 : < 0.35, 0.8875 >
758 : < 0.3625, 0.8875 >
759 : < 0.375, 0.8875 >
760 : < 0.3875, 0.8875 >
761 : < 0.4, 0.8875 >
762 : < 0.4125, 0.8875 >
763 : < 0.425, 0.8875 >
764 : < 0.4375, 0.8875 >
765 : < 0.45, 0.8875 >
766 : < 0.4625, 0.8875 >
767 : < 0.475, 0.8875 >
768 : < 0.4875, 0.8875 >
769 : < 0.5, 0.8875 >
770 : < 0.5125, 0.8875 >
771 : < 0.525, 0.8875 >
772 : < 0.5375, 0.8875 >
773 : < 0.55, 0.8875 >
774 : < 0.5625, 0.8875 >
775 : < 0.575, 0.8875 >
776 : < 0.5875, 0.8875 >
777 : < 0.6, 0.8875 >
778 : < 0.6125, 0.8875 >
779 : < 0.625, 0.8875 >
780 : < 0.6375, 0.8875 >
781 : < 0.65, 0.8875 >
782 : < 0.6625, 0.8875 >
783 : < 0.675, 0.8875 >
784 : < 0.6875, 0.8875 >
785 : < 0.7, 0.8875 >
786 : < 0.7125, 0.8875 >
787 : < 0.725, 0.8875 >
788 : < 0.7375, 0.8875 >
789 : < 0.75, 0.8875 >
790 : < 0.7625, 0.8875 >
791 : < 0.775, 0.8875 >
792 : < 0.7875, 0.8875 >
793 : < 0.8, 0.8875 >
794 : < 0.8125, 0.8875 >
795 : < 0.825, 0.8875 >
796 : < 0.8375, 0.8875 >
797 : < 0.85, 0.8875 >
798 : < 0.8625, 0.8875 >
799 : < 0.875, 0.8875 >
800 : < 0.8875, 0.8875 >
801 : < 0.9, 0.8875 >
802 : < 0.9125, 0.8875 >
803 : < 0.925, 0.8875 >
804 : < 0.9375, 0.8875 >
805 : < 0.95, 0.8875 >
806 : < 0.9625, 0.8875 >
807 : < 0.975, 0.8875 >
808 : < 0.9875, 0.8875 >
809 : < 1, 0.8875 >
810 : < 0, 0.875 >
811 : < 0.0125, 0.875 >
812 : < 0.025, 0.875 >
813 : < 0.0375, 0.875 >
814 : < 0.05, 0.875 >
815 : < 0.0625, 0.875 >
816 : < 0.075, 0.875 >
817 : < 0.0875, 0.875 >
818 : < 0.1, 0.875 >
819 : < 0.1125, 0.875 >
820 : < 0.125, 0.875 >
821 : < 0.1375, 0.875 >
822 : < 0.15, 0.875 >
823 : < 0.1625, 0.875 >
824 : < 0.175, 0.875 >
825 : < 0.1875, 0.875 >
826 : < 0.2, 0.875 >
827 : < 0.2125, 0.875 >
828 : < 0.225, 0.875 >
829 : < 0.2375, 0.875 >
830 : < 0.25, 0.875 >
831 : < 0.2625, 0.875 >
832 : < 0.275, 0.875 >
833 : < 0.2875, 0.875 >
